id,Период,Выручка
215348,препредыдущий_месяц,0.0
215348,текущий_месяц,3293.1
215348,предыдущий_месяц,0.0
215349,препредыдущий_месяц,4472.0
215349,текущий_месяц,4971.6
215349,предыдущий_месяц,5216.0
215350,препредыдущий_месяц,4826.0
215350,текущий_месяц,5058.4
215350,предыдущий_месяц,5457.5
215351,текущий_месяц,6610.4
215351,предыдущий_месяц,6158.0
215351,препредыдущий_месяц,4793.0
215352,предыдущий_месяц,5807.5
215352,препредыдущий_месяц,4594.0
215352,текущий_месяц,5872.5
215353,предыдущий_месяц,4738.5
215353,препредыдущий_месяц,5124.0
215353,текущий_месяц,5388.5
215354,предыдущий_месяц,5685.0
215354,текущий_месяц,5869.6
215354,препредыдущий_месяц,4503.0
215355,текущий_месяц,3772.6
215355,препредыдущий_месяц,4749.0
215355,предыдущий_месяц,3263.0
215356,текущий_месяц,4566.4
215356,препредыдущий_месяц,4433.0
215356,предыдущий_месяц,4146.5
215357,текущий_месяц,5986.3
215357,препредыдущий_месяц,0.0
215357,предыдущий_месяц,0.0
215358,текущий_месяц,4209.5
215358,препредыдущий_месяц,4727.0
215358,предыдущий_месяц,3488.0
215359,текущий_месяц,4735.0
215359,предыдущий_месяц,0.0
215359,препредыдущий_месяц,0.0
215360,предыдущий_месяц,5304.5
215360,текущий_месяц,5834.9
215360,препредыдущий_месяц,5555.0
215361,предыдущий_месяц,6400.0
215361,текущий_месяц,3789.7
215361,препредыдущий_месяц,4597.0
215362,предыдущий_месяц,4314.0
215362,текущий_месяц,4447.9
215362,препредыдущий_месяц,4765.0
215363,предыдущий_месяц,6010.0
215363,текущий_месяц,6128.3
215363,препредыдущий_месяц,4633.0
215364,текущий_месяц,5484.8
215364,препредыдущий_месяц,4942.0
215364,предыдущий_месяц,5795.5
215365,препредыдущий_месяц,4190.0
215365,предыдущий_месяц,4577.0
215365,текущий_месяц,4799.3
215366,препредыдущий_месяц,4335.0
215366,предыдущий_месяц,5035.5
